IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,QAT,Eastern Mediterranean,2007,71.89911,71.45301,72.41278,SEX_BTSX
WHOSIS_000001,IDN,South-East Asia,2000,68.41029,68.04756,68.89963,SEX_FMLE
WHOSIS_000001,JPN,Western Pacific,2009,79.88493,79.8295,79.94036,SEX_MLE
WHOSIS_000001,SSD,Africa,2009,59.74307,58.72718,61.13083,SEX_FMLE
WHOSIS_000001,ETH,Africa,2004,56.55439,55.90066,57.27063,SEX_FMLE
WHOSIS_000001,AFR,,2004,56.12895,55.40419,56.94028,SEX_FMLE
WHOSIS_000001,SYR,Eastern Mediterranean,2015,60.00566,59.31864,60.94146,SEX_BTSX
WHOSIS_000001,MWI,Africa,2017,65.54606,64.66149,66.35151,SEX_FMLE
WHOSIS_000001,SYC,Africa,2009,69.27105,69.09468,69.52468,SEX_MLE
WHOSIS_000001,FSM,Western Pacific,2017,68.54266,67.7518,69.37707,SEX_FMLE
WHOSIS_000001,BHR,Eastern Mediterranean,2010,74.93599,74.75278,75.12797,SEX_FMLE
WHOSIS_000001,BLR,Europe,2013,67.22126,67.17396,67.32272,SEX_MLE
WHOSIS_000001,MUS,Africa,2020,73.56975,73.34498,73.86311,SEX_BTSX
WHOSIS_000001,BRN,Western Pacific,2002,77.28221,77.13273,77.5867,SEX_FMLE
WHOSIS_000001,AUT,Europe,2014,81.23528,81.2205,81.30983,SEX_BTSX
WHOSIS_000001,EGY,Eastern Mediterranean,2014,67.78065,67.52273,68.1153,SEX_MLE
WHOSIS_000001,COM,Africa,2004,63.97537,63.19761,64.88296,SEX_BTSX
WHOSIS_000001,BRN,Western Pacific,2011,78.46628,78.27694,78.7618,SEX_FMLE
WHOSIS_000001,AUT,Europe,2010,82.98703,82.9763,83.07151,SEX_FMLE
WHOSIS_000001,SGP,Western Pacific,2015,82.84921,82.82475,82.94362,SEX_BTSX
WHOSIS_000001,MYS,Western Pacific,2016,72.57522,72.54952,72.6718,SEX_MLE
WHOSIS_000001,BFA,Africa,2013,57.49092,56.57554,58.40572,SEX_MLE
WHOSIS_000001,NER,Africa,2007,56.45936,55.50688,57.61713,SEX_BTSX
WHOSIS_000001,NZL,Western Pacific,2017,79.46431,79.43779,79.55286,SEX_MLE
WHOSIS_000001,SDN,Eastern Mediterranean,2000,63.79101,62.88219,64.72899,SEX_FMLE
WHOSIS_000001,LAO,Western Pacific,2017,67.72327,66.87946,68.78925,SEX_BTSX
WHOSIS_000001,COG,Africa,2012,60.99256,60.28224,61.76643,SEX_MLE
WHOSIS_000001,HRV,Europe,2014,81.05582,80.99979,81.18863,SEX_FMLE
WHOSIS_000001,MLI,Africa,2014,60.2676,59.37178,61.19798,SEX_FMLE
WHOSIS_000001,ECU,Americas,2021,73.95801,73.44979,74.54553,SEX_BTSX
WHOSIS_000001,LAO,Western Pacific,2017,65.52437,64.80334,66.44632,SEX_MLE
WHOSIS_000001,PRY,Americas,2008,77.63058,77.12486,78.23274,SEX_FMLE
WHOSIS_000001,IRN,Eastern Mediterranean,2002,72.38206,72.10263,72.70152,SEX_MLE
