Name,IndicatorCode,IndicatorName,Language
WCO_SEAHPRTRAINING,WCO_SEAHPRTRAINING,"Sexual exploitation, abuse and harassment prevention and response training",EN
WCO_PROGRAMBUDGET_PER100,WCO_PROGRAMBUDGET_PER100,Programme budget (%),EN
WCO_PROGRAMBUDGET_NUM,WCO_PROGRAMBUDGET_NUM,Programme budget (in US$ million),EN
WCO_PARTNERSDONORS_GROUPED_PER100,WCO_PARTNERSDONORS_GROUPED_PER100,Partners and donors by groups (%),EN
WCO_PARTNERSDONORS,WCO_PARTNERSDONORS,Partners and donors,EN
WCO_KEYFUNCTIONS_GROUPED_PER100,WCO_KEYFUNCTIONS_GROUPED_PER100,Key functions by groups (%),EN
WCO_KEYFUNCTIONS,WCO_KEYFUNCTIONS,Key functions,EN
WCO_INTERGOVERNMENTALORGANIZATIONS_GROUPED_PER100,WCO_INTERGOVERNMENTALORGANIZATIONS_GROUPED_PER100,Collaboration with Intergovernmental Organizations by groups (%),EN
WCO_INTERGOVERNMENTALORGANIZATIONS,WCO_INTERGOVERNMENTALORGANIZATIONS,Collaboration with Intergovernmental Organizations,EN
WCO_HWCO_PER100,WCO_HWCO_PER100,"Percentage of HWCOs/WRs, by sex",EN
WCO_HEADSWHO_WRS_OUTSIDEREGIONS_PER100,WCO_HEADSWHO_WRS_OUTSIDEREGIONS_PER100,Percentage of Heads of WHO Country Offices/WRs from outside the region,EN
WCO_HEADSWHO_WRS_NUM,WCO_HEADSWHO_WRS_NUM,Number of Heads of WHO Country Offices/WRs,EN
WCO_GOVERNMENTCOLLABORATION_GROUPED_PER100,WCO_GOVERNMENTCOLLABORATION_GROUPED_PER100,Collaboration with government sectors by groups (%),EN
WCO_GOVERNMENTCOLLABORATION,WCO_GOVERNMENTCOLLABORATION,Collaboration with government sectors,EN
WCO_FUNDING_TYPE_STRATEGY_PER100,WCO_FUNDING_TYPE_STRATEGY_PER100,Funds available per type of country office by Strategy (%),EN
WCO_FUNDING_TYPE,WCO_FUNDING_TYPE,Financing of WHO country offices - MTR (in US$ million),EN
WCO_FUNDING_LEVEL_PER100,WCO_FUNDING_LEVEL_PER100,Funds available per level of the Organization (%),EN
WCO_DISTRIBUTION_INTANDLOC_PER100,WCO_DISTRIBUTION_INTANDLOC_PER100,Gender distribution between international and local WCO staff,EN
WCO_CSSPRIORITIES_GROUP_PER100,WCO_CSSPRIORITIES_GROUP_PER100,Country Cooperation Strategy Priorities by groups (%),EN
WCO_CSSPRIORITIES,WCO_CSSPRIORITIES,Country Cooperation Strategy Priorities,EN
WCO_CORESTAFFCPCP_PER100,WCO_CORESTAFFCPCP_PER100,Number of WCO staff considered as core by the CPCP initiative (%),EN
WCO_CORESTAFFCPCP_NUM,WCO_CORESTAFFCPCP_NUM,Number of WCO staff considered as core by the CPCP initiative,EN
WCO_COLINKS,WCO_COLINKS,Relevants Country Offices links,EN
wast5,wast5,Wasting prevalence in children aged < 5 years (%),EN
wast3,wast3,Wasting prevalence in children aged < 3 years (%),EN
W9_no_obscure_C,W9_no_obscure_C,Health warnings on smokeless tobacco packaging must not be obscured in any way including by required markings such as tax stamps,EN
W9_no_obscure_B,W9_no_obscure_B,Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings such as tax stamps,EN
W9_no_obscure_A,W9_no_obscure_A,Health warnings on cigarette packaging must not be obscured in any way including by required markings such as tax stamps,EN
W8_princ_langs_C,W8_princ_langs_C,Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?,EN
W8_princ_langs_B,W8_princ_langs_B,Are the health warnings on other smoked tobacco packaging written in the principal language(s) of the country?,EN
W8_princ_langs_A,W8_princ_langs_A,Are the health warnings on cigarette packaging written in the principal language(s) of the country?,EN
W7_rotation_C,W7_rotation_C,Are the health warnings on smokeless tobacco packaging rotating?,EN
W7_rotation_B,W7_rotation_B,Are the health warnings on other smoked tobacco packaging rotating?,EN
W7_rotation_A,W7_rotation_A,Are the health warnings on cigarette packaging rotating?,EN
W6_font_C,W6_font_C,"Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?",EN
W6_font_B,W6_font_B,"Does the law mandate font style, font size and colour of health warnings on other smoked tobacco packaging?",EN
W6_font_A,W6_font_A,"Does the law mandate font style, font size and colour of health warnings on cigarette packaging?",EN
W5_top_side_C,W5_top_side_C,Health warnings on smokeless tobacco packaging must be placed at the top of the principal display areas of the package,EN
W5_top_side_B,W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,EN
W5_top_side_A,W5_top_side_A,Health warnings on cigarette packaging must be placed at the top of the principal display areas of the package,EN
W4_pc_back_C,W4_pc_back_C,Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging,EN
W4_pc_back_B,W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,EN
W4_pc_back_A,W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,EN
W3_pc_front_C,W3_pc_front_C,Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging,EN
W3_pc_front_B,W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,EN
W3_pc_front_A,W3_pc_front_A,Percentage of principal display area mandated to be covered by health warnings - front of cigarette packaging,EN
W27_smokeless_prod_ban,W27_smokeless_prod_ban,The sale of all smokeless tobacco products is completely banned,EN
W26_plainSPACEpackaging_A,W26_plainSPACEpackaging_A,Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,EN
W26_plain_packaging_C,W26_plain_packaging_C,Plain packaging of smokeless tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,EN
W26_plain_packaging_B,W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,EN
W26_plain_packaging_A,W26_plain_packaging_A,Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,EN
W25_quitline_number_C,W25_quitline_number_C,The quit line number must appear on smokeless tobacco packaging or labelling,EN
W25_quitline_number_B,W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,EN
W25_quitline_number_A,W25_quitline_number_A,The quit line number must appear on cigarette packaging or labelling,EN
